106年04月13日　三大法人買賣超日報 (股)
"證券代號","證券名稱","外資買進股數","外資賣出股數","外資買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數"
="2303","聯電            ","10,754,000","5,205,000","5,549,000","0","2,000","-2,000","-601,000","0","900,000","-900,000","390,000","91,000","299,000","4,946,000",
="2408","南亞科          ","1,796,514","818,000","978,514","0","0","0","3,168,000","1,172,000","303,000","869,000","2,689,000","390,000","2,299,000","4,146,514",
="2330","台積電          ","8,737,954","7,580,701","1,157,253","202,000","167,000","35,000","-253,000","171,000","905,000","-734,000","624,000","143,000","481,000","939,253",
="3545","敦泰            ","910,000","161,200","748,800","0","0","0","149,000","173,000","1,000","172,000","36,000","59,000","-23,000","897,800",
="8110","華東            ","1,331,000","597,000","734,000","0","0","0","129,000","164,000","35,000","129,000","0","0","0","863,000",
="6257","矽格            ","580,000","188,000","392,000","0","0","0","-1,000","0","0","0","0","1,000","-1,000","391,000",
="2401","凌陽            ","380,000","53,000","327,000","0","0","0","-1,000","0","1,000","-1,000","0","0","0","326,000",
="6271","同欣電          ","922,000","333,000","589,000","9,000","285,000","-276,000","-15,000","44,000","47,000","-3,000","0","12,000","-12,000","298,000",
="4968","立積            ","626,000","460,000","166,000","129,000","20,000","109,000","17,000","65,000","48,000","17,000","0","0","0","292,000",
="5305","敦南            ","313,000","102,000","211,000","0","27,000","-27,000","35,000","0","0","0","35,000","0","35,000","219,000",
="8131","福懋科          ","209,000","24,000","185,000","0","0","0","0","0","0","0","0","0","0","185,000",
="3034","聯詠            ","410,000","280,000","130,000","0","0","0","52,000","0","0","0","55,000","3,000","52,000","182,000",
="8081","致新            ","9,000","128,000","-119,000","0","0","0","296,000","296,000","0","296,000","0","0","0","177,000",
="3532","台勝科          ","232,000","112,000","120,000","36,000","0","36,000","21,000","103,000","82,000","21,000","0","0","0","177,000",
="2351","順德            ","240,000","205,000","35,000","0","0","0","109,000","124,000","0","124,000","0","15,000","-15,000","144,000",
="3661","世芯-KY         ","48,000","16,000","32,000","75,000","0","75,000","10,000","10,000","0","10,000","0","0","0","117,000",
="8271","宇瞻            ","133,001","20,000","113,001","0","0","0","-7,000","0","7,000","-7,000","0","0","0","106,001",
="2329","華泰            ","111,000","5,000","106,000","0","0","0","-2,000","0","2,000","-2,000","0","0","0","104,000",
="2369","菱生            ","148,000","50,000","98,000","0","0","0","0","0","0","0","0","0","0","98,000",
="6202","盛群            ","188,000","87,000","101,000","0","0","0","-10,000","11,000","21,000","-10,000","0","0","0","91,000",
="2436","偉詮電          ","371,000","200,000","171,000","0","0","0","-88,000","0","88,000","-88,000","0","0","0","83,000",
="3686","達能            ","82,000","1,000","81,000","0","0","0","-1,000","0","1,000","-1,000","0","0","0","80,000",
="3443","創意            ","141,000","82,000","59,000","20,000","0","20,000","-11,000","0","16,000","-16,000","7,000","2,000","5,000","68,000",
="2451","創見            ","172,000","113,000","59,000","0","0","0","-2,000","0","2,000","-2,000","0","0","0","57,000",
="2338","光罩            ","115,000","63,000","52,000","0","0","0","0","0","0","0","0","0","0","52,000",
="6415","矽力-KY         ","98,000","44,000","54,000","2,000","31,000","-29,000","25,000","27,000","0","27,000","0","2,000","-2,000","50,000",
="6531","愛普            ","51,000","5,000","46,000","0","0","0","0","0","0","0","0","0","0","46,000",
="2379","瑞昱            ","284,000","228,287","55,713","0","0","0","-19,000","0","0","0","4,000","23,000","-19,000","36,713",
="3559","全智科          ","0","6,000","-6,000","0","0","0","42,000","42,000","0","42,000","0","0","0","36,000",
="3413","京鼎            ","83,000","135,000","-52,000","10,000","50,000","-40,000","117,000","136,000","31,000","105,000","37,000","25,000","12,000","25,000",
="3041","揚智            ","37,000","15,000","22,000","0","0","0","0","0","0","0","0","0","0","22,000",
="2363","矽統            ","31,002","10,000","21,002","0","0","0","0","0","0","0","0","0","0","21,002",
="3519","綠能            ","103,000","83,000","20,000","0","0","0","0","0","0","0","0","0","0","20,000",
="6533","晶心科          ","23,000","15,000","8,000","0","0","0","0","0","0","0","0","0","0","8,000",
="3583","辛耘            ","7,000","0","7,000","0","0","0","0","0","0","0","0","0","0","7,000",
="5285","界霖            ","5,000","0","5,000","0","0","0","0","0","0","0","0","0","0","5,000",
="3579","尚志            ","1,000","0","1,000","0","0","0","0","0","0","0","0","0","0","1,000",
="2342","茂矽            ","1,000","0","1,000","0","0","0","-1,000","0","1,000","-1,000","0","0","0","0",
="1437","勤益控          ","0","1,000","-1,000","0","0","0","0","0","0","0","0","0","0","-1,000",
="3257","虹冠電          ","0","2,000","-2,000","0","0","0","0","0","0","0","0","0","0","-2,000",
="6243","迅杰            ","0","2,000","-2,000","0","0","0","0","0","0","0","0","0","0","-2,000",
="2388","威盛            ","0","3,000","-3,000","0","0","0","-1,000","0","1,000","-1,000","0","0","0","-4,000",
="3588","通嘉            ","0","6,000","-6,000","0","0","0","0","0","0","0","0","0","0","-6,000",
="3094","聯傑            ","0","7,000","-7,000","0","0","0","0","0","0","0","0","0","0","-7,000",
="3014","聯陽            ","24,000","31,000","-7,000","0","0","0","0","0","0","0","0","0","0","-7,000",
="6525","捷敏-KY         ","44,000","59,000","-15,000","0","0","0","0","0","0","0","0","0","0","-15,000",
="8261","富鼎            ","3,001","17,000","-13,999","0","0","0","-2,000","0","2,000","-2,000","0","0","0","-15,999",
="3536","誠創            ","12,000","32,000","-20,000","0","0","0","0","0","0","0","0","0","0","-20,000",
="3054","立萬利          ","2,000","23,000","-21,000","0","0","0","0","0","0","0","0","0","0","-21,000",
="2441","超豐            ","52,000","67,000","-15,000","0","0","0","-7,000","0","7,000","-7,000","0","0","0","-22,000",
="2325","矽品            ","1,706,000","1,753,000","-47,000","0","0","0","10,000","1,000","0","1,000","9,000","0","9,000","-37,000",
="3016","嘉晶            ","86,000","63,000","23,000","0","0","0","-75,000","0","75,000","-75,000","0","0","0","-52,000",
="4952","凌通            ","16,000","81,000","-65,000","0","0","0","-5,000","0","5,000","-5,000","0","0","0","-70,000",
="5471","松翰            ","6,000","74,000","-68,000","0","0","0","-3,000","0","3,000","-3,000","0","0","0","-71,000",
="6451","訊芯-KY         ","5,000","75,000","-70,000","0","0","0","-10,000","0","0","0","4,000","14,000","-10,000","-80,000",
="5269","祥碩            ","64,000","65,000","-1,000","0","102,000","-102,000","-25,000","25,000","50,000","-25,000","0","0","0","-128,000",
="3035","智原            ","23,000","152,400","-129,400","0","0","0","1,000","0","20,000","-20,000","43,000","22,000","21,000","-128,400",
="2454","聯發科          ","2,450,000","2,482,000","-32,000","0","0","0","-148,000","15,000","0","15,000","43,000","206,000","-163,000","-180,000",
="8016","矽創            ","41,000","270,000","-229,000","0","0","0","-6,000","0","0","0","0","6,000","-6,000","-235,000",
="3189","景碩            ","728,000","690,000","38,000","0","249,000","-249,000","-40,000","5,000","6,000","-1,000","51,000","90,000","-39,000","-251,000",
="2337","旺宏            ","13,547,000","11,529,000","2,018,000","0","1,202,000","-1,202,000","-1,130,000","0","1,130,000","-1,130,000","0","0","0","-314,000",
="4919","新唐            ","185,000","333,000","-148,000","0","167,000","-167,000","-24,000","0","12,000","-12,000","0","12,000","-12,000","-339,000",
="2481","強茂            ","54,000","106,000","-52,000","0","0","0","-309,000","11,000","320,000","-309,000","0","0","0","-361,000",
="2449","京元電子        ","294,000","676,000","-382,000","0","0","0","-37,000","32,000","0","32,000","12,000","81,000","-69,000","-419,000",
="3006","晶豪科          ","975,000","747,000","228,000","0","43,000","-43,000","-630,000","204,000","109,000","95,000","386,000","1,111,000","-725,000","-445,000",
="2344","華邦電          ","7,968,000","7,265,000","703,000","194,000","693,000","-499,000","-840,000","729,000","1,718,000","-989,000","2,056,000","1,907,000","149,000","-636,000",
="2458","義隆            ","477,000","371,000","106,000","0","0","0","-1,280,000","23,000","92,000","-69,000","44,000","1,255,000","-1,211,000","-1,174,000",
="8150","南茂            ","1,158,000","3,495,000","-2,337,000","0","0","0","641,000","0","14,000","-14,000","823,000","168,000","655,000","-1,696,000",
="6239","力成            ","188,000","1,663,000","-1,475,000","0","610,000","-610,000","24,000","0","0","0","64,000","40,000","24,000","-2,061,000",
="2311","日月光          ","3,418,000","5,440,000","-2,022,000","0","435,000","-435,000","36,000","100,000","74,000","26,000","80,000","70,000","10,000","-2,421,000",
"說明："
"1.自營商表示證券自營商專戶。"
"2.投信表示本國投資信託基金。"
"3.外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記之投資人。"
"4.本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。"
"5.本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"6.ETF證券代號第六碼為K、M、S者，表示該ETF以外幣（含人民幣）交易。"
