年/月,現金及約當現金,短期投資,應收帳款及票據,存貨,流動資產
200003,316807,901240,2836819,865634,6011898
200006,305800,2027231,3016988,953816,7604480
200009,376998,1239543,3022836,855678,6763695
200012,978142,1632256,3455661,1064899,8098067
200103,112288,108150,3528854,1044998,5432736
200106,402453,405651,4056171,1177206,6723775
200109,448391,2010273,4186233,1282785,8604065
200112,202313,161273,4497620,1370498,8275099
200203,512554,1101273,4402003,1093098,7809205
200206,301438,550273,4706093,1240227,7555961
200209,248705,1893288,4483248,1050569,8892724
200212,399666,2833592,4901232,1188581,10271584
200303,291712,247185,4334845,1053093,6878876
200306,568549,292675,4252723,1380216,8875543
200309,243400,208175,4117140,1353996,7905181
200312,330846,317160,4435726,1316003,6870965
200403,216514,6478723,4741164,1353316,15220867
200406,343464,3592024,4749701,1376203,11488806
200409,585767,3908198,4312177,1747946,11505225
200412,1318902,3914216,4379993,1300221,11604453
200503,1546033,4566306,3907552,1176162,11893617
200506,4889473,2647504,4090512,1104373,14356773
200509,6250793,3862321,4097682,1032275,17276427
200512,4970196,4404355,4573625,1215831,16160691
200603,5172940,4582870,4149855,1468836,16364690
200606,8692630,5180301,3950435,1324298,21486712
200609,2714230,5204539,4727292,1348979,14507240
200612,2916904,5382864,4693608,1570115,14921371
200703,3999811,6281773,4490090,1688579,16855819
200706,4126989,7032813,4025496,1755515,20787592
200709,2091586,8419465,3815841,1758626,16709288
200712,391760,6306671,4574498,1971843,13596448
200803,2603746,5819225,3724724,1436859,14275603
200806,1793111,6310646,4362670,1211539,18723515
200809,1341600,3516847,4271975,1300744,12114617
200812,2235340,3419043,3795500,1852590,12401699
200903,1923307,4048965,3318122,1249347,11636683
200906,2308877,4652393,3445129,1550973,14613138
200909,1495783,4497794,3497446,1590589,11716387
200912,1211157,4616078,3802473,1434560,11539226
201003,4792466,4322705,3654652,1219214,16049037
201006,3163484,3328544,3712183,1469908,14574670
201009,1013688,3593149,3923029,1812507,11194270
201012,12285234,3227417,4292281,1430657,21824810
201103,3814205,2922754,4367129,1264257,13339768
201106,3012794,2706742,4795533,1087695,15808317
201109,1500378,2237906,4546411,1261208,11145903
201112,2035606,2149389,4813584,1365529,11683849
201203,1435007,1849290,4316391,1537541,10097589
201206,6748975,2470550,4404281,1262901,18536684
201209,7265535,1503813,4731189,1249557,16013718
201212,6761699,1404516,4923969,1565459,15643397
201312,1233842,1565470,4568843,1203753,9221934
201412,745405,1527521,4603866,1495352,8916096
201512,1234072,1182447,4197266,1617092,8697661
