年/月	長期投資	固定資產	其他資產	流動負債	長期負債	其他負債及準備
200003	24776310	46514760	4240213	5944276	25115564	9977080
200006	28267942	46921770	4795495	6455177	31038524	9932731
200009	29915014	48083804	4980999	7622472	32233938	9937323
200012	29318049	49256658	6423819	8721793	34663834	9805814
200103	31413051	49849980	6527479	7456945	35454539	10043130
200106	33846171	49802922	6402934	7669507	38505376	10067909
200109	33338747	49334630	6715977	6526018	37481497	10068372
200112	33349291	NaN	6458349	7095883	36513986	10277488
200203	34016729	49828099	6525965	13395247	30605987	7141201
200206	35090413	49191323	6278587	15584730	28119670	7048051
200209	35267006	48654829	6107156	16205225	28571368	7071327
200212	36755523	48110722	5889947	NaN	27847296	7041304
200303	37184952	48334158	5792282	16746067	25891797	7299005
200306	36102574	47810881	5531647	15664652	27175534	7343676
200309	NaN	47150368	5567934	15228302	26276209	7237317
200312	35616203	46635752	5451228	9801466	28584556	7300394
200403	33654280	46106283	5424638	10724099	32283056	7442283
200406	31537013	45596305	5452270	8483325	28424677	7476479
200409	32261878	45094017	5390529	6846281	28875234	7387380
200412	32777812	44671493	5104340	6876444	27537261	7638930
200503	33098792	43774509	4500367	7527556	25946945	7311011
200506	30214289	43155871	4158498	8436650	22170487	7788163
200509	29738504	42467000	4169022	10998894	20223344	7396031
200512	29719371	41992080	3941210	8092857	19748864	7551244
200603	31564059	41583135	NaN	5427322	19211428	7700762
200606	31792933	41160524	3798632	9176835	20795230	7694198
200609	33701366	40803039	3752965	5457751	20878888	7320812
200612	38306673	40304560	3801722	5335356	18483929	6472201
200703	38582800	39872712	3749944	5244100	17365483	6524116
200706	44293446	39433673	3463876	10944424	17412960	6160991
200709	50573343	38988967	3438707	5753703	NaN	6188105
200712	54109101	38570773	3327258	8493660	12222928	6060076
200803	50994401	38327847	3530240	8033733	12258686	6028903
200806	46883331	38038249	3430452	17365056	9470833	5451760
200809	43718530	37582999	3486609	11852095	9497651	5466658
200812	46428984	37170872	3492493	14676080	7328040	5450721
200903	48783825	36773188	3432547	13107925	7846018	5478206
200906	48963090	36339277	3421478	14422292	9813283	5453688
200909	51657877	35949159	3441606	8088496	12293185	5475050
200912	54072702	35517054	3448607	7126366	12880000	5461123
201003	51083163	35147015	3425541	7289895	12450000	5474462
201006	49737639	34821923	3378488	10832217	10800000	5440045
201009	55389481	33623408	4105323	4970265	12300000	5451659
201012	57346851	33266568	4107959	14224503	2000000	5400614
201103	59401388	32958778	4059967	4491267	0	5369904
201106	60781055	32708038	4034045	10959628	0	5322413
201109	57550525	32406774	3956975	5984229	0	5297392
201112	60243636	32108048	4028618	5970302	0	5310004
201203	61756229	31872084	4017049	3595448	0	5319994
201206	58079027	31615229	3982997	14106049	0	5333010
201209	60514455	31396789	4117072	10558097	0	5351069
201212	64006117	31219719	4165690	9857539	0	NaN
201312	94945220	30296310	1478598	3357947	13965373	5540797
201412	103277427	29491105	1435994	5616776	13973213	5571763
201512	97573192	28635070	778627	11719056	10621053	5301456
