ら戳,秨絃基,程蔼基,程基,Μ絃基
2015-11-30,2510,2530,2485,2515
2015-11-27,2540,2550,2505,2505
2015-11-26,2510,2560,2510,2525
2015-11-25,2480,2535,2450,2510
2015-11-24,2630,2655,2460,2465
2015-11-23,2745,2750,2680,2715
2015-11-20,2680,2750,2660,2735
2015-11-19,2630,2670,2600,2670
2015-11-18,2585,2600,2550,2560
2015-11-17,2580,2630,2570,2585
2015-11-16,2490,2540,2445,2515
2015-11-13,2505,2575,2500,2510
2015-11-12,2535,2560,2460,2560
2015-11-11,2590,2620,2490,2490
2015-11-10,2545,2650,2545,2590
2015-11-9,2700,2740,2620,2620
2015-11-6,2910,2910,2720,2720
2015-11-5,2845,2965,2840,2940
2015-11-4,2780,2825,2765,2810
2015-11-3,2680,2750,2670,2745
2015-11-2,2535,2690,2525,2640
