日期	西德州(美元/桶)	杜拜(美元/桶)	布蘭特(美元/桶)
2016/4/4	35.7	34.78	36.7
2016/4/1	36.79	35.78	37.81
2016/3/31	38.34	34.86	38.72
2016/3/30	38.32	35.2	38.77
2016/3/29	38.28	34.66	38.62
2016/3/28	39.39	35.97	39.32
2016/3/25	37.96	35.12	39.54
2016/3/24	37.96	35.12	39.54
2016/3/23	38.49	37.72	39.76
2016/3/22	39.95	37.68	40.92
2016/3/21	39.91	37.13	40.67
2016/3/18	39.44	37.11	40.54
2016/3/17	40.2	37.19	40.65
2016/3/16	38.46	34.85	39.46
2016/3/15	36.34	35.17	37.88
2016/3/14	37.18	35.17	38.59
2016/3/11	38.5	36.02	39.44
2016/3/10	37.84	36.04	39.45
2016/3/9	38.29	35.57	39.88
2016/3/8	36.5	35.86	38.95
2016/3/7	37.9	34.85	40.22
2016/3/4	35.92	32.29	38.46
2016/3/3	34.57	31.89	36.6
2016/3/2	34.66	31.87	36.74
2016/3/1	34.4	32.03	36.24
2016/2/29	33.75	29.81	35.95
2016/2/26	32.78	31.15	34.74
2016/2/25	32.17	29.53	34.51
2016/2/24	30.4	28.03	33.91
2016/2/23	30.07	29.53	32.45
2016/2/22	31.48	29.5	34.05
2016/2/19	29.64	30.17	32.49
2016/2/18	30.77	30.69	33.45
2016/2/17	30.66	28.51	34.44
2016/2/16	29.04	29.44	31.78
2016/2/15	29.44	27.86	32.31
2016/2/12	29.44	27.86	32.31
2016/2/11	26.21	26.69	31.07
2016/2/10	27.45	27.27	30.97
2016/2/9	27.94	30.74	30.41
2016/2/8	29.69	30.74	32.74
2016/2/5	30.89	30.74	33.75
2016/2/4	31.72	31.52	34
2016/2/3	32.28	29.46	35.34
2016/2/2	29.88	29.81	31.98
2016/2/1	31.62	32.02	33.47
2016/1/29	33.62	29.5	33.21
2016/1/28	33.22	28.39	33.07
2016/1/27	32.3	25.9	31.73
2016/1/26	31.45	24.47	29.73
2016/1/25	28.39	26.13	28.64
2016/1/22	30.99	25.38	30.92
2016/1/21	28.28	22.49	28.17
2016/1/20	26.55	22.94	26.43
2016/1/19	28.46	24.56	27.34
2016/1/18	29.42	25.27	28.04
2016/1/15	29.42	25.27	28.04
2016/1/14	31.2	25.72	29.84
2016/1/13	30.48	27.12	28.36
2016/1/12	30.44	26.66	28.74
2016/1/11	31.41	28.47	29.68
2016/1/8	33.16	29.26	32.06
2016/1/7	33.27	28.22	32.35
2016/1/6	33.97	29.95	33.01
2016/1/5	35.97	32.29	35.6
2016/1/4	36.76	33.11	36.23
